Format,Target,Model,R2,MAE,RMSE,Naive_MAE,Naive_src,Uplift_pct,,,Sum of R2,Column Labels,,
ODI,economy_form,XGBoost,0.1805,1.3356,1.7234,5.6147,last5_economy_fmt,76.21,,,,,,
T20,dot_career,XGBoost,0.1622,11.0656,14.0505,48.1487,career_dot_pct,77.02,,,,,,
Test,strkrt_form,Ridge,0.1572,34.8547,48.9667,51.652,last5_strkrt_fmt,32.52,,,,,,
T20,dot_career,LightGBM,0.1547,11.1169,14.113,48.1487,career_dot_pct,76.91,,,,,,
Test,strkrt_form,XGBoost,0.1411,36.1177,49.4328,51.652,last5_strkrt_fmt,30.08,,,,,,
T20,BPI_form,XGBoost,0.1392,13.6132,16.6644,45.2291,last5_BPI_fmt,69.9,,,,,,
T20,BPI_form,LightGBM,0.1383,13.6371,16.6733,45.2291,last5_BPI_fmt,69.85,,,,,,
ODI,economy_form,Ridge,0.1368,1.3848,1.7687,5.6147,last5_economy_fmt,75.34,,,,,,
T20,dot_career,Ridge,0.1318,11.2964,14.303,48.1487,career_dot_pct,76.54,,,,,,
Test,strkrt_form,LightGBM,0.1312,35.9805,49.717,51.652,last5_strkrt_fmt,30.34,,,,,,
Test,BPI_form,XGBoost,0.1297,11.9136,14.803,54.301,last5_BPI_fmt,78.06,,,,,,
Test,BPI_form,LightGBM,0.1278,11.917,14.8192,54.301,last5_BPI_fmt,78.05,,,,,,
Test,dot_career,Ridge,0.1268,7.7137,10.2941,44.851,career_dot_pct,82.8,,,,,,
T20,BPI_career,XGBoost,0.1144,13.3861,16.2726,45.9752,career_BPI,70.88,,,,,,
T20,BPI_career,LightGBM,0.1142,13.3844,16.2748,45.9752,career_BPI,70.89,,,,,,
Test,BPI_form,Ridge,0.1085,12.0283,14.982,54.301,last5_BPI_fmt,77.85,,,,,,
ODI,BPI_form,LightGBM,0.0956,15.257,18.6287,48.4468,last5_BPI_fmt,68.51,,,,,,
ODI,BPI_form,XGBoost,0.0945,15.2487,18.6393,48.4468,last5_BPI_fmt,68.52,,,,,,
T20,wicket_career,XGBoost,0.0786,0.7776,0.9742,1.8844,career_wicket_per_match,58.73,,,,,,
T20,BPI_form,Ridge,0.0782,14.0613,17.2447,45.2291,last5_BPI_fmt,68.91,,,,,,
T20,wicket_career,LightGBM,0.0765,0.7787,0.9754,1.8844,career_wicket_per_match,58.68,,,,,,
ODI,BPI_career,LightGBM,0.0693,14.8967,18.1413,48.2887,career_BPI,69.15,,,,,,
T20,BPI_career,Ridge,0.0682,13.7047,16.6916,45.9752,career_BPI,70.19,,,,,,
ODI,BPI_career,XGBoost,0.0665,14.9239,18.1685,48.2887,career_BPI,69.09,,,,,,
Test,wicket_career,XGBoost,0.0659,1.8651,2.3499,2.6385,career_wicket_per_match,29.31,,,,,,
ODI,BPI_form,Ridge,0.0656,15.4566,18.9349,48.4468,last5_BPI_fmt,68.1,,,,,,
Test,wicket_career,LightGBM,0.063,1.8666,2.3534,2.6385,career_wicket_per_match,29.26,,,,,,
ODI,wicket_career,XGBoost,0.0607,0.858,1.1031,2.0461,career_wicket_per_match,58.06,,,,,,
ODI,wicket_career,LightGBM,0.0565,0.8604,1.1055,2.0461,career_wicket_per_match,57.95,,,,,,
ODI,dot_career,LightGBM,0.0562,9.3543,11.8232,54.7439,career_dot_pct,82.91,,,,,,
ODI,dot_career,XGBoost,0.0562,9.3334,11.8231,54.7439,career_dot_pct,82.95,,,,,,
T20,wicket_career,Ridge,0.0529,0.7867,0.9877,1.8844,career_wicket_per_match,58.25,,,,,,
ODI,strkrt_career,XGBoost,0.0498,14.4494,17.0012,34.5742,career_strkrt,58.21,,,,,,
ODI,strkrt_career,LightGBM,0.0485,14.4596,17.0132,34.5742,career_strkrt,58.18,,,,,,
Test,strkrt_career,Ridge,0.041,35.425,49.5153,46.8625,career_strkrt,24.41,,,,,,
ODI,BPI_career,Ridge,0.0402,15.0727,18.4235,48.2887,career_BPI,68.79,,,,,,
Test,BPI_career,XGBoost,0.0378,11.7113,14.743,45.5789,career_BPI,74.31,,,,,,
Test,strkrt_career,XGBoost,0.0364,37.0039,49.6329,46.8625,career_strkrt,21.04,,,,,,
ODI,dot_career,Ridge,0.035,9.4645,11.9552,54.7439,career_dot_pct,82.71,,,,,,
Test,strkrt_career,LightGBM,0.0288,36.8491,49.8305,46.8625,career_strkrt,21.37,,,,,,
Test,BPI_career,LightGBM,0.0239,11.8141,14.8491,45.5789,career_BPI,74.08,,,,,,
ODI,wicket_career,Ridge,0.0228,0.8745,1.1251,2.0461,career_wicket_per_match,57.26,,,,,,
ODI,strkrt_career,Ridge,0.0221,14.5707,17.247,34.5742,career_strkrt,57.86,,,,,,
Test,BPI_career,Ridge,0.0079,11.9158,14.9703,45.5789,career_BPI,73.86,,,,,,
Test,wicket_career,Ridge,-0.0014,1.9139,2.433,2.6385,career_wicket_per_match,27.46,,,,,,
