Format,Target,n_estimators,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain
T20,ECO_DEV_form,1046,0.04224140543859562,24,20,0.608166564759797,0.7144070160077498,0.6306999406005529,0.04746630571393197,0.7070991268508384
T20,ECO_DEV_career,1115,0.023696717171484805,80,36,0.7085862143808441,0.8416568692831278,0.09906143145237098,4.399010961465044,0.030925226388650973
T20,DOT_DEV_form,299,0.031636517423378044,18,43,0.7656507257239166,0.7440601786368678,0.0005332838907757576,0.0001298578153657625,0.6652861373507462
T20,DOT_DEV_career,1010,0.015408008522234031,26,34,0.6625916610133735,0.8377637070028385,0.042995292248808895,1.138148177787516,0.4722149251619493
T20,STR_DEV_form,1159,0.013699779929409711,17,31,0.5653276242077325,0.9204948724656239,8.324951357073163e-05,1.1600704703325044,0.5321477348679213
T20,STR_DEV_career,1260,0.012748807518405507,83,21,0.5403317102892633,0.6491233968284595,1.392969278466083,0.00013313869332291466,0.603983621451423
ODI,ECO_DEV_form,1034,0.028280504314918836,53,38,0.6498382478821864,0.538531899951328,0.0027656570390628614,1.6708233904383674,0.7897748159439368
ODI,ECO_DEV_career,303,0.02437144315673894,16,15,0.516543895705804,0.7490702181825428,7.546311105833304e-05,0.0073637868842754365,0.4764938974079043
ODI,DOT_DEV_form,1260,0.012005112863422748,15,36,0.72461694832665,0.9038245996310214,0.22767131670930157,0.00043244221733473425,0.6729746735676254
ODI,DOT_DEV_career,1395,0.03253819693556453,15,67,0.56393998679726,0.8921584874563344,5.0303296443668084e-05,9.68492668744344e-05,0.7484032176196811
ODI,STR_DEV_form,1159,0.01153292929724253,16,29,0.6008147597351519,0.7414233747515564,0.003037719519948072,0.000607692261086837,0.18433894661860098
ODI,STR_DEV_career,1019,0.015913182945028515,26,77,0.8208934450607429,0.6960592234976007,0.002173903184224229,0.0004297870702456391,0.1833253634659049
Test,ECO_DEV_form,1219,0.017111119475007694,98,31,0.7008588245279068,0.6418106512401214,0.013273861381831968,0.5348971016369843,0.24351001160119418
Test,ECO_DEV_career,1010,0.015408008522234031,26,34,0.6625916610133735,0.8377637070028385,0.042995292248808895,1.138148177787516,0.4722149251619493
Test,DOT_DEV_form,1298,0.03539008131850114,15,37,0.7171781358782057,0.8380509119147189,2.790910985746758,0.028861903136619606,0.6880988980130585
Test,DOT_DEV_career,1486,0.01125981898333016,168,36,0.9813998715681671,0.690318243931298,0.003840571901896008,0.00010552796067785848,0.8858926633261259
Test,STR_DEV_form,1074,0.06462113152708837,53,12,0.7814834816112007,0.503124170326674,0.5209520000154712,0.08929980686341395,0.6045480612474794
Test,STR_DEV_career,1292,0.009937286151891466,15,32,0.7240201205033413,0.6544952989521544,0.16045324799097999,0.00293811121262547,0.1150197386116999
