Format,Target,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
T20,ECO_DEV_form,955,0.04274376846046905,7,54,0.597750250838562,0.9576879864474726,4.00221708927205,2.058318187998476,0.5117853744547466
T20,ECO_DEV_career,1445,0.037285767427579705,4,13,0.7512656088373982,0.9111852347596203,3.2718826138537653,0.033578052673530624,0.0013183827042282756
T20,DOT_DEV_form,962,0.06763828803987004,4,11,0.6221021725320832,0.9554326784904902,2.4804356667905845,0.0002561283833930836,0.0033782251430606817
T20,DOT_DEV_career,1298,0.009376630099601208,5,21,0.7225518661106741,0.944652000461176,3.5193321978161047,0.00013568769825589487,0.3175238567273551
T20,STR_DEV_form,1241,0.09057780959152169,3,29,0.9031465257510671,0.9145668830855119,4.613758878893282,0.00029639367247422284,0.0069582649277555655
T20,STR_DEV_career,1181,0.048655688493031785,8,74,0.7581014535606156,0.73268159958058,0.7823972281531643,0.002405132403185059,2.576360976812754e-05
ODI,ECO_DEV_form,1061,0.014434610190247879,6,25,0.5924272277627636,0.9817507766587351,3.8756641168055728,2.260353097521748,1.2577497195117306
ODI,ECO_DEV_career,643,0.02672942396321866,3,27,0.6717013719323522,0.7818357178883222,1.914103191996676,1.830257902464943,0.8219900108886107
ODI,DOT_DEV_form,1205,0.05111344162434024,4,15,0.5009099421913195,0.9490108637519531,2.78497492234819,0.06016551546538244,0.0002613373515761217
ODI,DOT_DEV_career,1105,0.010948971006532037,4,82,0.8618680540824057,0.8588265915475402,4.907641785104131,0.0002352097275603595,0.43537277449707734
ODI,STR_DEV_form,817,0.04047100568552306,3,23,0.9073737762583107,0.70423001570447,4.4800136325385,0.05412130309574654,0.0005441928130544602
ODI,STR_DEV_career,1120,0.008321595492195145,9,77,0.6571432656256038,0.6616599001433682,1.537279051446217,0.030467017602537907,0.08027067403530978
Test,ECO_DEV_form,1272,0.022103706559946392,4,21,0.8448372126058836,0.9981912234960868,3.1370991330748383,0.0009770430826198519,0.001223451672229949
Test,ECO_DEV_career,1364,0.01010029998163412,4,17,0.9230715580463723,0.9053359967962681,1.0152505106711092,0.00014634682000392606,0.012513621102286104
Test,DOT_DEV_form,1388,0.02615233637435194,3,6,0.6730835728516438,0.8633458159049562,4.351522641149679,0.7184016952462684,0.003319786597162951
Test,DOT_DEV_career,777,0.015759900462439382,7,25,0.962710822712217,0.8019244806447121,4.205460841616878,0.5287704432582119,0.19248020404150432
Test,STR_DEV_form,801,0.017410801403692687,4,8,0.7830490167548361,0.6574183422712987,2.0748101552548097,8.657897364066944e-05,6.243988638442162e-05
Test,STR_DEV_career,1172,0.06493207239254653,4,30,0.7544973166481584,0.8829777466513308,2.3704542758440406,0.0006694075141051755,0.44543805827207844
